Data de referência,Prazo médio de repactuação
2019-07-09,1153.680143703956604922713825
2019-07-10,1153.800880423062789273606538
2019-07-11,1153.495503844661056704134752
2019-07-12,1151.161336330883979032521274
2019-07-15,1148.279854035813814095883441
2019-07-16,1146.971689600572618779883078
2019-07-17,1146.039388485682188343122278
2019-07-18,1145.433902025026084976525721
2019-07-19,1144.079185550732931609051381
2019-07-22,1141.463743284961758346718069
2019-07-23,1140.813507948364344788512637
2019-07-24,1140.214606839235761306670578
2019-07-25,1139.045033509764699707829118
2019-07-26,1138.803837904857898122585570
2019-07-29,1136.862338763014017705346731
2019-07-30,1134.746708686535313772773047
2019-07-31,1132.890702538303470998136272
2019-08-01,1132.559897682356583712585179
2019-08-02,1133.846304791463030893399704
2019-08-05,1128.926430595392283916428683
2019-08-06,1130.412903792571652422715453
2019-08-07,1130.154742447201430996655103
2019-08-08,1129.349958139796318923284345
2019-08-09,1128.299042500003022471378803
2019-08-12,1125.127937239606150739242921
2019-08-13,1124.160032300913991706240227
2019-08-14,1122.416663959022961621845399
2019-08-15,1120.922709418263792503579065
2019-08-16,1120.398101828013400117114468
2019-08-19,1117.641063449063487400890579
2019-08-20,1116.788654474609593322221419
2019-08-21,1116.472501896430694835384215
2019-08-22,1115.078941359481417516942521
2019-08-23,1113.819560669631285822297476
2019-08-26,1110.275681475013444910267441
2019-08-27,1108.860110645539352556755529
2019-08-28,1106.692808571955829007840736
2019-08-29,1105.649192533332352915135675
2019-08-30,1105.582193835468829933784866
2019-09-02,1103.247086926200691940563288
2019-09-03,1099.676355283802720180329385
2019-09-04,1099.488542477232825105061488
2019-09-05,1098.531636695695118637223176
2019-09-06,1097.649685867502874750472317
2019-09-09,1094.964683801479150548872989
2019-09-10,1094.004670204116984595453541
2019-09-11,1093.905932572424214845612612
2019-09-12,1093.443913293311952858810060
2019-09-13,1091.895405697912020600392442
2019-09-16,1090.166433337824286958225782
2019-09-17,1090.044149454056170179019566
2019-09-18,1089.779850639766743512330334
2019-09-19,1090.430172219338632130826421
2019-09-20,1090.596482018167543929279319
2019-09-23,1087.132611363141178947096353
2019-09-24,1085.796278375319226028474185
2019-09-25,1085.352961089859983866431684
2019-09-26,1084.764999854459816210031852
2019-09-27,1084.647722373231555240653716
2019-09-30,1082.744017095432650995250682
2019-10-01,1081.555347553865108846464227
2019-10-02,1192.458090172899555141325765
2019-10-03,1191.767613038033126486923442
2019-10-04,1190.545875837823034229064340
2019-10-07,1187.128511454943818629846116
2019-10-08,1186.460215307681090613908358
2019-10-09,1186.201633696024121394793684
2019-10-10,1187.053169248973468678205013
2019-10-11,1188.862011415713544480087913
2019-10-14,1187.375627072574669794467202
2019-10-15,1182.014927469594481880005544
2019-10-16,1182.643562477555596242932058
2019-10-17,1183.000582871810823899999681
2019-10-18,1181.325776217076785050191526
2019-10-21,1178.331507776476516541536419
2019-10-22,1175.798771854142051784608192
2019-10-23,1174.666220634484198148443845
2019-10-24,1173.141399241393579326219006
2019-10-25,1173.210006580923813515259700
2019-10-28,1172.305574731034107418800377
2019-10-29,1171.846426579838870216365327
2019-10-30,1171.755676130354458593330919
2019-10-31,1170.791431840496550705821426
2019-11-01,1170.354877971053430111806232
2019-11-04,1221.726296477678697493639990
2019-11-05,1218.161894813590929137582018
2019-11-06,1216.157315128217723874310009
2019-11-07,1213.996568922303293647837115
2019-11-08,1213.674497106891123886816289
2019-11-11,1211.214683870561798397809529
2019-11-12,1208.892374566775399038296520
2019-11-13,1206.020563192038788646996465
2019-11-14,1208.820486998339816754820171
2019-11-18,1200.530552586934238701395411
2019-11-19,1198.867268861100962292032212
2019-11-20,1198.181160952615146824630417
2019-11-21,1197.588439449877765887853989
2019-11-22,1197.507812026540867710025122
